Municipios;Ano;CD_GEOCMU;total_pop_mun;fxa_pop_mun
MATA DE SÃO JOÃO;2000;2921005;32568;10 mil - 50 mil
MATA DE SÃO JOÃO;2010;2921005;40183;10 mil - 50 mil
MATINA;2000;2921054;10242;10 mil - 50 mil
MATINA;2010;2921054;11145;10 mil - 50 mil
MEDEIROS NETO;2000;2921104;21235;10 mil - 50 mil
MEDEIROS NETO;2010;2921104;21560;10 mil - 50 mil
MEDEIROS NETO;1991;2921104;23059;10 mil - 50 mil
MIGUEL CALMON;1991;2921203;25260;10 mil - 50 mil
MIGUEL CALMON;2010;2921203;26475;10 mil - 50 mil
MIGUEL CALMON;2000;2921203;28267;10 mil - 50 mil
MILAGRES;2010;2921302;10306;10 mil - 50 mil
MILAGRES;2000;2921302;12067;10 mil - 50 mil
MIRANGABA;2000;2921401;14261;10 mil - 50 mil
MIRANGABA;1991;2921401;14651;10 mil - 50 mil
MIRANGABA;2010;2921401;16279;10 mil - 50 mil
MIRANTE;2010;2921450;10507;10 mil - 50 mil
MIRANTE;2000;2921450;13666;10 mil - 50 mil
MORRO DO CHAPÉU;1991;2921708;31766;10 mil - 50 mil
MORRO DO CHAPÉU;2000;2921708;34494;10 mil - 50 mil
MORRO DO CHAPÉU;2010;2921708;35164;10 mil - 50 mil
MORTUGABA;2010;2921807;12477;10 mil - 50 mil
MORTUGABA;2000;2921807;12598;10 mil - 50 mil
MORTUGABA;1991;2921807;12907;10 mil - 50 mil
MUCUGÊ;1991;2921906;10334;10 mil - 50 mil
MUCUGÊ;2010;2921906;10545;10 mil - 50 mil
MUCUGÊ;2000;2921906;13682;10 mil - 50 mil
MUCURI;1991;2922003;17606;10 mil - 50 mil
MUCURI;2000;2922003;28062;10 mil - 50 mil
MUCURI;2010;2922003;36026;10 mil - 50 mil
MULUNGU DO MORRO;2010;2922052;12249;10 mil - 50 mil
MULUNGU DO MORRO;1991;2922052;13741;10 mil - 50 mil
MULUNGU DO MORRO;2000;2922052;15119;10 mil - 50 mil
MUNDO NOVO;2000;2922102;21273;10 mil - 50 mil
MUNDO NOVO;2010;2922102;24395;10 mil - 50 mil
MUNDO NOVO;1991;2922102;30854;10 mil - 50 mil
MUQUÉM DO SÃO FRANCISCO;2010;2922250;10272;10 mil - 50 mil
MURITIBA;1991;2922300;24534;10 mil - 50 mil
MURITIBA;2010;2922300;28899;10 mil - 50 mil
MURITIBA;2000;2922300;30644;10 mil - 50 mil
MUTUÍPE;2000;2922409;20462;10 mil - 50 mil
MUTUÍPE;1991;2922409;20491;10 mil - 50 mil
MUTUÍPE;2010;2922409;21449;10 mil - 50 mil
NAZARÉ;1991;2922508;25954;10 mil - 50 mil
NAZARÉ;2000;2922508;26365;10 mil - 50 mil
NAZARÉ;2010;2922508;27274;10 mil - 50 mil
NILO PEÇANHA;2000;2922607;11213;10 mil - 50 mil
NILO PEÇANHA;1991;2922607;12290;10 mil - 50 mil
NILO PEÇANHA;2010;2922607;12530;10 mil - 50 mil
NORDESTINA;2000;2922656;11800;10 mil - 50 mil
NORDESTINA;2010;2922656;12371;10 mil - 50 mil
NOVA CANAÃ;1991;2922706;13815;10 mil - 50 mil
NOVA CANAÃ;2000;2922706;15366;10 mil - 50 mil
NOVA CANAÃ;2010;2922706;16713;10 mil - 50 mil
NOVA FÁTIMA;1991;2922730;10445;10 mil - 50 mil
NOVA IBIÁ;1991;2922755;10502;10 mil - 50 mil
NOVA REDENÇÃO;1991;2922854;10318;10 mil - 50 mil
NOVA SOURE;2010;2922904;24136;10 mil - 50 mil
NOVA SOURE;2000;2922904;24405;10 mil - 50 mil
NOVA SOURE;1991;2922904;24674;10 mil - 50 mil
NOVA VIÇOSA;1991;2923001;25570;10 mil - 50 mil
NOVA VIÇOSA;2000;2923001;32076;10 mil - 50 mil
NOVA VIÇOSA;2010;2923001;38556;10 mil - 50 mil
NOVO HORIZONTE;1991;2923035;10184;10 mil - 50 mil
NOVO HORIZONTE;2010;2923035;10673;10 mil - 50 mil
NOVO TRIUNFO;1991;2923050;11080;10 mil - 50 mil
NOVO TRIUNFO;2000;2923050;13599;10 mil - 50 mil
NOVO TRIUNFO;2010;2923050;15051;10 mil - 50 mil
OLINDINA;1991;2923100;21462;10 mil - 50 mil
OLINDINA;2000;2923100;23909;10 mil - 50 mil
OLINDINA;2010;2923100;24943;10 mil - 50 mil
OLIVEIRA DOS BREJINHOS;1991;2923209;21105;10 mil - 50 mil
OLIVEIRA DOS BREJINHOS;2000;2923209;21670;10 mil - 50 mil
OLIVEIRA DOS BREJINHOS;2010;2923209;21831;10 mil - 50 mil
OUROLÂNDIA;1991;2923357;12235;10 mil - 50 mil
OUROLÂNDIA;2000;2923357;15356;10 mil - 50 mil
OUROLÂNDIA;2010;2923357;16425;10 mil - 50 mil
PALMAS DE MONTE ALTO;2000;2923407;20099;10 mil - 50 mil
PALMAS DE MONTE ALTO;1991;2923407;20477;10 mil - 50 mil
PALMAS DE MONTE ALTO;2010;2923407;20775;10 mil - 50 mil
PARAMIRIM;2000;2923605;18921;10 mil - 50 mil
PARAMIRIM;2010;2923605;21001;10 mil - 50 mil
PARAMIRIM;1991;2923605;22577;10 mil - 50 mil
PARATINGA;1991;2923704;24181;10 mil - 50 mil
PARATINGA;2000;2923704;27679;10 mil - 50 mil
PARATINGA;2010;2923704;29504;10 mil - 50 mil
PARIPIRANGA;1991;2923803;26027;10 mil - 50 mil
PARIPIRANGA;2000;2923803;26591;10 mil - 50 mil
PARIPIRANGA;2010;2923803;27778;10 mil - 50 mil
PAU BRASIL;2010;2923902;10852;10 mil - 50 mil
PAU BRASIL;2000;2923902;13048;10 mil - 50 mil
PAU BRASIL;1991;2923902;16179;10 mil - 50 mil
PÉ DE SERRA;2000;2924058;13531;10 mil - 50 mil
PÉ DE SERRA;2010;2924058;13752;10 mil - 50 mil
PÉ DE SERRA;1991;2924058;17048;10 mil - 50 mil
PEDRO ALEXANDRE;1991;2924207;14801;10 mil - 50 mil
PEDRO ALEXANDRE;2000;2924207;16953;10 mil - 50 mil
PEDRO ALEXANDRE;2010;2924207;16995;10 mil - 50 mil
PIATÃ;2010;2924306;17982;10 mil - 50 mil
PIATÃ;1991;2924306;18308;10 mil - 50 mil
PIATÃ;2000;2924306;18977;10 mil - 50 mil
PILÃO ARCADO;2000;2924405;30713;10 mil - 50 mil
PILÃO ARCADO;1991;2924405;31949;10 mil - 50 mil
PILÃO ARCADO;2010;2924405;32860;10 mil - 50 mil
PINDAÍ;2000;2924504;15494;10 mil - 50 mil
PINDAÍ;2010;2924504;15628;10 mil - 50 mil
PINDAÍ;1991;2924504;16575;10 mil - 50 mil
PINDOBAÇU;2010;2924603;20121;10 mil - 50 mil
PINDOBAÇU;2000;2924603;20869;10 mil - 50 mil
PINDOBAÇU;1991;2924603;24047;10 mil - 50 mil
PINTADAS;2010;2924652;10342;10 mil - 50 mil
PINTADAS;1991;2924652;10405;10 mil - 50 mil
PINTADAS;2000;2924652;10927;10 mil - 50 mil
PIRAÍ DO NORTE;2000;2924678;10425;10 mil - 50 mil
PIRAÍ DO NORTE;1991;2924678;13759;10 mil - 50 mil
PIRIPÁ;1991;2924702;10416;10 mil - 50 mil
PIRIPÁ;2010;2924702;12783;10 mil - 50 mil
PIRIPÁ;2000;2924702;16128;10 mil - 50 mil
PIRITIBA;2000;2924801;19037;10 mil - 50 mil
PIRITIBA;2010;2924801;22399;10 mil - 50 mil
PIRITIBA;1991;2924801;24176;10 mil - 50 mil
PLANALTINO;1991;2924900;10332;10 mil - 50 mil
PLANALTO;2000;2925006;21707;10 mil - 50 mil
PLANALTO;1991;2925006;23526;10 mil - 50 mil
PLANALTO;2010;2925006;24481;10 mil - 50 mil
POÇÕES;1991;2925105;37834;10 mil - 50 mil
POÇÕES;2000;2925105;44213;10 mil - 50 mil
POÇÕES;2010;2925105;44701;10 mil - 50 mil
POJUCA;1991;2925204;22485;10 mil - 50 mil
POJUCA;2000;2925204;26203;10 mil - 50 mil
POJUCA;2010;2925204;33066;10 mil - 50 mil
PONTO NOVO;2010;2925253;15742;10 mil - 50 mil
PONTO NOVO;1991;2925253;17171;10 mil - 50 mil
PONTO NOVO;2000;2925253;17187;10 mil - 50 mil
PORTO SEGURO;1991;2925303;34661;10 mil - 50 mil
POTIRAGUÁ;1991;2925402;10389;10 mil - 50 mil
POTIRAGUÁ;2000;2925402;14579;10 mil - 50 mil
PRADO;1991;2925501;22632;10 mil - 50 mil
PRADO;2000;2925501;26498;10 mil - 50 mil
PRADO;2010;2925501;27627;10 mil - 50 mil
PRESIDENTE DUTRA;2000;2925600;13730;10 mil - 50 mil
PRESIDENTE DUTRA;2010;2925600;13750;10 mil - 50 mil
PRESIDENTE DUTRA;1991;2925600;13833;10 mil - 50 mil
PRESIDENTE JÂNIO QUADROS;2010;2925709;13652;10 mil - 50 mil
PRESIDENTE JÂNIO QUADROS;1991;2925709;14125;10 mil - 50 mil
PRESIDENTE JÂNIO QUADROS;2000;2925709;17045;10 mil - 50 mil
PRESIDENTE TANCREDO NEVES;1991;2925758;18535;10 mil - 50 mil
PRESIDENTE TANCREDO NEVES;2000;2925758;19404;10 mil - 50 mil
PRESIDENTE TANCREDO NEVES;2010;2925758;23846;10 mil - 50 mil
QUEIMADAS;1991;2925808;23162;10 mil - 50 mil
QUEIMADAS;2010;2925808;24602;10 mil - 50 mil
QUEIMADAS;2000;2925808;24613;10 mil - 50 mil
QUIJINGUE;1991;2925907;23958;10 mil - 50 mil
QUIJINGUE;2000;2925907;26376;10 mil - 50 mil
QUIJINGUE;2010;2925907;27228;10 mil - 50 mil
QUIXABEIRA;1991;2925931;13927;10 mil - 50 mil
RAFAEL JAMBEIRO;1991;2925956;22572;10 mil - 50 mil
RAFAEL JAMBEIRO;2000;2925956;22600;10 mil - 50 mil
RAFAEL JAMBEIRO;2010;2925956;22874;10 mil - 50 mil
REMANSO;1991;2926004;34381;10 mil - 50 mil
REMANSO;2000;2926004;36257;10 mil - 50 mil
REMANSO;2010;2926004;38957;10 mil - 50 mil
RETIROLÂNDIA;2000;2926103;10891;10 mil - 50 mil
RETIROLÂNDIA;1991;2926103;11300;10 mil - 50 mil
RETIROLÂNDIA;2010;2926103;12055;10 mil - 50 mil
RIACHÃO DAS NEVES;1991;2926202;20282;10 mil - 50 mil
RIACHÃO DAS NEVES;2000;2926202;21917;10 mil - 50 mil
RIACHÃO DAS NEVES;2010;2926202;21937;10 mil - 50 mil
RIACHÃO DO JACUÍPE;2000;2926301;31633;10 mil - 50 mil
RIACHÃO DO JACUÍPE;2010;2926301;33172;10 mil - 50 mil
RIACHÃO DO JACUÍPE;1991;2926301;37610;10 mil - 50 mil
RIACHO DE SANTANA;1991;2926400;27259;10 mil - 50 mil
RIACHO DE SANTANA;2000;2926400;28643;10 mil - 50 mil
RIACHO DE SANTANA;2010;2926400;30646;10 mil - 50 mil
RIBEIRA DO AMPARO;2000;2926509;13903;10 mil - 50 mil
RIBEIRA DO AMPARO;1991;2926509;13942;10 mil - 50 mil
RIBEIRA DO AMPARO;2010;2926509;14276;10 mil - 50 mil
RIBEIRA DO POMBAL;1991;2926608;42509;10 mil - 50 mil
RIBEIRA DO POMBAL;2000;2926608;46270;10 mil - 50 mil
RIBEIRA DO POMBAL;2010;2926608;47518;10 mil - 50 mil
RIBEIRÃO DO LARGO;1991;2926657;10930;10 mil - 50 mil
RIBEIRÃO DO LARGO;2000;2926657;15303;10 mil - 50 mil
RIO DE CONTAS;2010;2926707;13007;10 mil - 50 mil
RIO DE CONTAS;2000;2926707;13935;10 mil - 50 mil
RIO DE CONTAS;1991;2926707;14068;10 mil - 50 mil
RIO DO ANTÔNIO;1991;2926806;13322;10 mil - 50 mil
RIO DO ANTÔNIO;2000;2926806;14637;10 mil - 50 mil
RIO DO ANTÔNIO;2010;2926806;14815;10 mil - 50 mil
RIO DO PIRES;2010;2926905;11918;10 mil - 50 mil
RIO DO PIRES;2000;2926905;12010;10 mil - 50 mil
RIO DO PIRES;1991;2926905;12101;10 mil - 50 mil
RIO REAL;1991;2927002;27783;10 mil - 50 mil
RIO REAL;2000;2927002;33260;10 mil - 50 mil
RIO REAL;2010;2927002;37164;10 mil - 50 mil
RUY BARBOSA;2000;2927200;29026;10 mil - 50 mil
RUY BARBOSA;2010;2927200;29887;10 mil - 50 mil
RUY BARBOSA;1991;2927200;30052;10 mil - 50 mil
SALINAS DA MARGARIDA;2000;2927309;10377;10 mil - 50 mil
SALINAS DA MARGARIDA;2010;2927309;13456;10 mil - 50 mil
SANTA BÁRBARA;1991;2927507;16768;10 mil - 50 mil
SANTA BÁRBARA;2000;2927507;17933;10 mil - 50 mil
SANTA BÁRBARA;2010;2927507;19064;10 mil - 50 mil
SANTA BRÍGIDA;1991;2927606;13290;10 mil - 50 mil
SANTA BRÍGIDA;2010;2927606;15060;10 mil - 50 mil
SANTA BRÍGIDA;2000;2927606;16903;10 mil - 50 mil
SANTA CRUZ CABRÁLIA;2000;2927705;23888;10 mil - 50 mil
SANTA CRUZ CABRÁLIA;2010;2927705;26264;10 mil - 50 mil
SANTA INÊS;1991;2927903;10048;10 mil - 50 mil
SANTA INÊS;2010;2927903;10363;10 mil - 50 mil
SANTA INÊS;2000;2927903;11027;10 mil - 50 mil
SANTA LUZIA;2010;2928059;13344;10 mil - 50 mil
SANTA LUZIA;2000;2928059;15503;10 mil - 50 mil
SANTA LUZIA;1991;2928059;16319;10 mil - 50 mil
SANTA MARIA DA VITÓRIA;2010;2928109;40309;10 mil - 50 mil
SANTA MARIA DA VITÓRIA;2000;2928109;41261;10 mil - 50 mil
SANTA MARIA DA VITÓRIA;1991;2928109;41528;10 mil - 50 mil
SANTA RITA DE CÁSSIA;1991;2928406;23240;10 mil - 50 mil
SANTA RITA DE CÁSSIA;2000;2928406;24026;10 mil - 50 mil
SANTA RITA DE CÁSSIA;2010;2928406;26250;10 mil - 50 mil
SANTALUZ;1991;2928000;30634;10 mil - 50 mil
SANTALUZ;2000;2928000;30955;10 mil - 50 mil
SANTALUZ;2010;2928000;33838;10 mil - 50 mil
SANTANA;2000;2928208;24139;10 mil - 50 mil
SANTANA;1991;2928208;24669;10 mil - 50 mil
SANTANA;2010;2928208;24750;10 mil - 50 mil
SANTO ESTEVÃO;1991;2928802;37007;10 mil - 50 mil
SANTO ESTEVÃO;2000;2928802;41145;10 mil - 50 mil
SANTO ESTEVÃO;2010;2928802;47880;10 mil - 50 mil
SÃO DESIDÉRIO;1991;2928901;18977;10 mil - 50 mil
SÃO DESIDÉRIO;2000;2928901;19006;10 mil - 50 mil
SÃO DESIDÉRIO;2010;2928901;27659;10 mil - 50 mil
SÃO DOMINGOS;1991;2928950;10276;10 mil - 50 mil
SÃO FELIPE;1991;2929107;20107;10 mil - 50 mil
SÃO FELIPE;2000;2929107;20228;10 mil - 50 mil
SÃO FELIPE;2010;2929107;20305;10 mil - 50 mil
SÃO FÉLIX;1991;2929008;12182;10 mil - 50 mil
SÃO FÉLIX;2000;2929008;13699;10 mil - 50 mil
SÃO FÉLIX;2010;2929008;14098;10 mil - 50 mil
SÃO FÉLIX DO CORIBE;2000;2929057;11758;10 mil - 50 mil
SÃO FÉLIX DO CORIBE;1991;2929057;11916;10 mil - 50 mil
SÃO FÉLIX DO CORIBE;2010;2929057;13048;10 mil - 50 mil
SÃO FRANCISCO DO CONDE;1991;2929206;20238;10 mil - 50 mil
SÃO FRANCISCO DO CONDE;2000;2929206;26282;10 mil - 50 mil
SÃO FRANCISCO DO CONDE;2010;2929206;33183;10 mil - 50 mil
SÃO GABRIEL;1991;2929255;17884;10 mil - 50 mil
SÃO GABRIEL;2000;2929255;18412;10 mil - 50 mil
SÃO GABRIEL;2010;2929255;18427;10 mil - 50 mil
SÃO GONÇALO DOS CAMPOS;1991;2929305;24288;10 mil - 50 mil
SÃO GONÇALO DOS CAMPOS;2000;2929305;27000;10 mil - 50 mil
SÃO GONÇALO DOS CAMPOS;2010;2929305;33283;10 mil - 50 mil
SÃO JOSÉ DO JACUÍPE;2010;2929370;10180;10 mil - 50 mil
SÃO JOSÉ DO JACUÍPE;1991;2929370;14100;10 mil - 50 mil
SÃO MIGUEL DAS MATAS;2000;2929404;10020;10 mil - 50 mil
SÃO MIGUEL DAS MATAS;2010;2929404;10414;10 mil - 50 mil
SÃO SEBASTIÃO DO PASSÉ;1991;2929503;36825;10 mil - 50 mil
SÃO SEBASTIÃO DO PASSÉ;2000;2929503;39960;10 mil - 50 mil
SÃO SEBASTIÃO DO PASSÉ;2010;2929503;42153;10 mil - 50 mil
SAPEAÇU;1991;2929602;15192;10 mil - 50 mil
SAPEAÇU;2000;2929602;16450;10 mil - 50 mil
SAPEAÇU;2010;2929602;16585;10 mil - 50 mil
SÁTIRO DIAS;1991;2929701;13679;10 mil - 50 mil
SÁTIRO DIAS;2000;2929701;17251;10 mil - 50 mil
SÁTIRO DIAS;2010;2929701;18964;10 mil - 50 mil
SAUBARA;2000;2929750;10193;10 mil - 50 mil
SAUBARA;2010;2929750;11201;10 mil - 50 mil
SAÚDE;1991;2929800;11389;10 mil - 50 mil
SAÚDE;2000;2929800;11488;10 mil - 50 mil
SAÚDE;2010;2929800;11845;10 mil - 50 mil
SEABRA;1991;2929909;37859;10 mil - 50 mil
SEABRA;2000;2929909;39422;10 mil - 50 mil
SEABRA;2010;2929909;41798;10 mil - 50 mil
SEBASTIÃO LARANJEIRAS;2010;2930006;10371;10 mil - 50 mil
SENTO SÉ;1991;2930204;28387;10 mil - 50 mil
SENTO SÉ;2000;2930204;32461;10 mil - 50 mil
SENTO SÉ;2010;2930204;37425;10 mil - 50 mil
SERRA DO RAMALHO;2010;2930154;31638;10 mil - 50 mil
SERRA DO RAMALHO;2000;2930154;32600;10 mil - 50 mil
SERRA DO RAMALHO;1991;2930154;33164;10 mil - 50 mil
SERRA DOURADA;1991;2930303;17473;10 mil - 50 mil
SERRA DOURADA;2000;2930303;18015;10 mil - 50 mil
SERRA DOURADA;2010;2930303;18112;10 mil - 50 mil
SERRA PRETA;2010;2930402;15401;10 mil - 50 mil
SERRA PRETA;1991;2930402;17656;10 mil - 50 mil
SERRA PRETA;2000;2930402;17726;10 mil - 50 mil
SERROLÂNDIA;1991;2930600;11812;10 mil - 50 mil
SERROLÂNDIA;2010;2930600;12344;10 mil - 50 mil
SERROLÂNDIA;2000;2930600;12616;10 mil - 50 mil
SÍTIO DO MATO;2000;2930758;11752;10 mil - 50 mil
SÍTIO DO MATO;2010;2930758;12050;10 mil - 50 mil
SÍTIO DO QUINTO;1991;2930766;12050;10 mil - 50 mil
SÍTIO DO QUINTO;2010;2930766;12592;10 mil - 50 mil
SÍTIO DO QUINTO;2000;2930766;17031;10 mil - 50 mil
SOBRADINHO;1991;2930774;21208;10 mil - 50 mil
SOBRADINHO;2000;2930774;21325;10 mil - 50 mil
SOBRADINHO;2010;2930774;22000;10 mil - 50 mil
SOUTO SOARES;2000;2930808;14795;10 mil - 50 mil
SOUTO SOARES;2010;2930808;15899;10 mil - 50 mil
SOUTO SOARES;1991;2930808;18356;10 mil - 50 mil
TABOCAS DO BREJO VELHO;1991;2930907;11281;10 mil - 50 mil
TABOCAS DO BREJO VELHO;2010;2930907;11431;10 mil - 50 mil
TABOCAS DO BREJO VELHO;2000;2930907;12619;10 mil - 50 mil
TANHAÇU;1991;2931004;18310;10 mil - 50 mil
TANHAÇU;2010;2931004;20013;10 mil - 50 mil
TANHAÇU;2000;2931004;20044;10 mil - 50 mil
TANQUE NOVO;1991;2931053;12661;10 mil - 50 mil
TANQUE NOVO;2000;2931053;15771;10 mil - 50 mil
TANQUE NOVO;2010;2931053;16128;10 mil - 50 mil
TANQUINHO;1991;2931103;10280;10 mil - 50 mil
TAPEROÁ;2000;2931202;15933;10 mil - 50 mil
TAPEROÁ;1991;2931202;17046;10 mil - 50 mil
TAPEROÁ;2010;2931202;18748;10 mil - 50 mil
TAPIRAMUTÁ;1991;2931301;13691;10 mil - 50 mil
TAPIRAMUTÁ;2010;2931301;16516;10 mil - 50 mil
TAPIRAMUTÁ;2000;2931301;17061;10 mil - 50 mil
TEOFILÂNDIA;2000;2931509;20432;10 mil - 50 mil
TEOFILÂNDIA;2010;2931509;21482;10 mil - 50 mil
TEOFILÂNDIA;1991;2931509;21570;10 mil - 50 mil
TEOLÂNDIA;1991;2931608;12433;10 mil - 50 mil
TEOLÂNDIA;2000;2931608;12572;10 mil - 50 mil
TEOLÂNDIA;2010;2931608;14836;10 mil - 50 mil
TERRA NOVA;1991;2931707;12238;10 mil - 50 mil
TERRA NOVA;2010;2931707;12803;10 mil - 50 mil
TERRA NOVA;2000;2931707;12875;10 mil - 50 mil
TREMEDAL;2010;2931806;17029;10 mil - 50 mil
TREMEDAL;1991;2931806;20867;10 mil - 50 mil
TREMEDAL;2000;2931806;21200;10 mil - 50 mil
TUCANO;1991;2931905;46618;10 mil - 50 mil
UAUÁ;2010;2932002;24294;10 mil - 50 mil
UAUÁ;1991;2932002;24343;10 mil - 50 mil
UAUÁ;2000;2932002;25993;10 mil - 50 mil
UBAÍRA;2010;2932101;19750;10 mil - 50 mil
UBAÍRA;2000;2932101;20595;10 mil - 50 mil
UBAÍRA;1991;2932101;20809;10 mil - 50 mil
UBAITABA;2010;2932200;20691;10 mil - 50 mil
UBAITABA;1991;2932200;21062;10 mil - 50 mil
UBAITABA;2000;2932200;23854;10 mil - 50 mil
UBATÃ;2000;2932309;21803;10 mil - 50 mil
UBATÃ;2010;2932309;25004;10 mil - 50 mil
UBATÃ;1991;2932309;25900;10 mil - 50 mil
UIBAÍ;2000;2932408;13614;10 mil - 50 mil
UIBAÍ;1991;2932408;13616;10 mil - 50 mil
UIBAÍ;2010;2932408;13625;10 mil - 50 mil
UMBURANAS;1991;2932457;11540;10 mil - 50 mil
UMBURANAS;2000;2932457;14140;10 mil - 50 mil
UMBURANAS;2010;2932457;17000;10 mil - 50 mil
UNA;1991;2932507;23757;10 mil - 50 mil
UNA;2010;2932507;24110;10 mil - 50 mil
UNA;2000;2932507;31261;10 mil - 50 mil
URANDI;1991;2932606;15974;10 mil - 50 mil
URANDI;2000;2932606;16076;10 mil - 50 mil
URANDI;2010;2932606;16466;10 mil - 50 mil
URUÇUCA;2010;2932705;19837;10 mil - 50 mil
URUÇUCA;2000;2932705;20323;10 mil - 50 mil
URUÇUCA;1991;2932705;30763;10 mil - 50 mil
UTINGA;2000;2932804;16889;10 mil - 50 mil
UTINGA;1991;2932804;17048;10 mil - 50 mil
UTINGA;2010;2932804;18173;10 mil - 50 mil
VALENTE;1991;2933000;17830;10 mil - 50 mil
VALENTE;2000;2933000;19145;10 mil - 50 mil
VALENTE;2010;2933000;24560;10 mil - 50 mil
VÁRZEA DA ROÇA;1991;2933059;13448;10 mil - 50 mil
VÁRZEA DA ROÇA;2000;2933059;13633;10 mil - 50 mil
VÁRZEA DA ROÇA;2010;2933059;13786;10 mil - 50 mil
VÁRZEA NOVA;2010;2933158;13073;10 mil - 50 mil
VÁRZEA NOVA;2000;2933158;14154;10 mil - 50 mil
VÁRZEA NOVA;1991;2933158;17144;10 mil - 50 mil
VERA CRUZ;1991;2933208;22136;10 mil - 50 mil
VERA CRUZ;2000;2933208;29750;10 mil - 50 mil
VERA CRUZ;2010;2933208;37567;10 mil - 50 mil
WANDERLEY;2010;2933455;12485;10 mil - 50 mil
WANDERLEY;1991;2933455;13637;10 mil - 50 mil
WANDERLEY;2000;2933455;13649;10 mil - 50 mil
WENCESLAU GUIMARÃES;1991;2933505;17254;10 mil - 50 mil
WENCESLAU GUIMARÃES;2010;2933505;22189;10 mil - 50 mil
WENCESLAU GUIMARÃES;2000;2933505;23926;10 mil - 50 mil
XIQUE-XIQUE;1991;2933604;40373;10 mil - 50 mil
XIQUE-XIQUE;2000;2933604;44718;10 mil - 50 mil
XIQUE-XIQUE;2010;2933604;45536;10 mil - 50 mil
